System;Route;Banner;Name;Roots
eursfg;VG1.6;;Acceso A Veiga;espga.vg0016
eursfg;PO010;;Acceso Balaidos;espga.po010vig
eursfg;VG1.4;;Acceso Sardiñeiro;espga.vg0014
eursfg;VG1.2;;Avenida de Astano;espga.vg0012
eursfg;ConPor;;Conexión O Porriño;espga.conpor
eursfg;CG1.5;;Corredor Brión - Noia;espga.cg0015
eursfg;VG1.7;;Corredor das Galanas;espga.vg0017
eursfg;CG4.1;;Corredor do Morrazo;espga.cg0041
eursfg;VG4.5;;Corredor do Morrazo;espga.vg0045
eursfg;VG4.6;;Corredor do Morrazo;espga.vg0046
eursfg;CG2.1;;Corredor Monforte - Monte Faro (Monforte de Lemos);espga.cg0021mon
eursfg;CG2.1;;Corredor Monforte - Monte Faro (Chantada);espga.cg0021
eursfg;CG4.2;;Corredor Rio Minho;espga.cg0042
eursfg;V1.4;;Rolda do Real Clube Deportivo da Coruna;espga.v0014
eursfg;VG1.8;;Variante de Aradas;espga.vg0018
eursfg;VG4.4;;Variante de Marin;espga.vg0044
eursfg;VG4.7;;Variante de Vilagarcía;espga.vg0047
eursfg;VG1.3;;Vía Ártabra;espga.vg0013
eursfg;CG1.3;;Vía de Alta Capacidad de la Costa Norte;espga.cg0013
eursfg;CG2.3;;Vía de Alta Capacidad de la Costa Norte;espga.cg0023
eursfg;VG4.2;;Vía de Altas Prestacións AG-41 - Cambados;espga.vg0042
eursfg;VG1.5;;Vía de Altas Prestacións Baio - Santa Irena;espga.vg0015
eursfg;VG4.8;;Vía de Altas Prestacións Barragáns - Campelo;espga.vg0048
eursfg;VG4.3;;Vía de Altas Prestacións Cambados - Vilagarcia de Arousa;espga.vg0043
eursfg;CG2.2;;Vía de Altas Prestacións Lugo - Monforte;espga.cg0022
eursfg;VG2.1;;Vía de Altas Prestacións Monforte;espga.vg0021
eursfg;VG4.1;;Vía do Saines;espga.vg0041
