systemName;region;route;banner;abbrev;city;root;altRouteNames
usaky;KY;KY1;;;;ky.ky0001;
usaky;KY;KY2;;;;ky.ky0002;
usaky;KY;KY3;;;;ky.ky0003;
usaky;KY;KY4;;;;ky.ky0004;
usaky;KY;KY5;;;;ky.ky0005;
usaky;KY;KY6;;;;ky.ky0006;
usaky;KY;KY7;;;;ky.ky0007;
usaky;KY;KY8;;;Covington;ky.ky0008;
usaky;KY;KY8;;Van;Vanceburg;ky.ky0008van;
usaky;KY;KY8S;;SPo;South Portsmouth;ky.ky0008sspo;
usaky;KY;KY9;;;;ky.ky0009;
usaky;KY;KY10;;;;ky.ky0010;
usaky;KY;KY11;;;;ky.ky0011;
usaky;KY;KY11;Bus;Fle;Flemingsburg;ky.ky0011busfle;
usaky;KY;KY12;;;;ky.ky0012;
usaky;KY;KY13;;;;ky.ky0013;
usaky;KY;KY14;;;;ky.ky0014;
usaky;KY;KY15;;;Winchester;ky.ky0015;
usaky;KY;KY15;;Cam;Campton;ky.ky0015cam;
usaky;KY;KY15;Bus;Whi;Whitesburg;ky.ky0015buswhi;
usaky;KY;KY15;Bus;Haz;Hazard;ky.ky0015bushaz;
usaky;KY;KY16;;;;ky.ky0016;
usaky;KY;KY17;;;;ky.ky0017;
usaky;KY;KY17;Bus;Ind;Independence;ky.ky0017busind;
usaky;KY;KY18;;;;ky.ky0018;
usaky;KY;KY19;;;;ky.ky0019;
usaky;KY;KY20;;;;ky.ky0020;
usaky;KY;KY21;;;;ky.ky0021;
usaky;KY;KY22;;;;ky.ky0022;
usaky;KY;KY22;Bus;Dry;Dry Ridge;ky.ky0022busdry;
usaky;KY;KY26;;;;ky.ky0026;
usaky;KY;KY28;;;;ky.ky0028;
usaky;KY;KY29;;;;ky.ky0029;
usaky;KY;KY30;;;;ky.ky0030;
usaky;KY;KY32;;;;ky.ky0032;
usaky;KY;KY32;Bus;Fle;Flemingsburg;ky.ky0032busfle;
usaky;KY;KY33;;;;ky.ky0033;
usaky;KY;KY34;;;;ky.ky0034;
usaky;KY;KY35;;;;ky.ky0035;
usaky;KY;KY36;;;;ky.ky0036;
usaky;KY;KY37;;;;ky.ky0037;
usaky;KY;KY38;;;;ky.ky0038;
usaky;KY;KY39;;;Lancaster;ky.ky0039;
usaky;KY;KY39;;Nic;Nicholasville;ky.ky0039nic;
usaky;KY;KY40;;;;ky.ky0040;
usaky;KY;KY43;;;;ky.ky0043;
usaky;KY;KY44;;;;ky.ky0044;
usaky;KY;KY46;;;;ky.ky0046;
usaky;KY;KY47;;;;ky.ky0047;
usaky;KY;KY48;;;;ky.ky0048;
usaky;KY;KY49;;;;ky.ky0049;
usaky;KY;KY52;;;;ky.ky0052;
usaky;KY;KY53;;;;ky.ky0053;
usaky;KY;KY54;;;;ky.ky0054;
usaky;KY;KY55;;;;ky.ky0055;
usaky;KY;KY55;Bus;Col;Columbia;ky.ky0055buscol;
usaky;KY;KY55;Bus;She;Shelbyville;ky.ky0055busshe;
usaky;KY;KY56;;;;ky.ky0056;
usaky;KY;KY56;Trk;Mor;Morganfield;ky.ky0056trkmor;
usaky;KY;KY57;;;;ky.ky0057;
usaky;KY;KY57;Bus;Fle;Flemingsburg;ky.ky0057busfle;
usaky;KY;KY58;;;;ky.ky0058;
usaky;KY;KY59;;;;ky.ky0059;
usaky;KY;KY61;;;;ky.ky0061;
usaky;KY;KY63;;;;ky.ky0063;
usaky;KY;KY66;;;;ky.ky0066;
usaky;KY;KY67;;;;ky.ky0067;
usaky;KY;KY69;;;;ky.ky0069;
usaky;KY;KY70;;Smi;Smithland;ky.ky0070smi;
usaky;KY;KY70;;;Madisonville;ky.ky0070;
usaky;KY;KY70;;Cam;Campbellsville;ky.ky0070cam;
usaky;KY;KY70;Bus;Lib;Liberty;ky.ky0070buslib;
usaky;KY;KY72;;Bla;Blackmont;ky.ky0072bla;
usaky;KY;KY72;;;Harlan;ky.ky0072;
usaky;KY;KY73;;;;ky.ky0073;
usaky;KY;KY74;;;;ky.ky0074;
usaky;KY;KY76;;;;ky.ky0076;
usaky;KY;KY77;;;;ky.ky0077;
usaky;KY;KY78;;;;ky.ky0078;
usaky;KY;KY79;;;;ky.ky0079;
usaky;KY;KY80;;Col;Columbus;ky.ky0080col;
usaky;KY;KY80;;;Bowling Green;ky.ky0080;
usaky;KY;KY80;Bus;May;Mayfield;ky.ky0080busmay;
usaky;KY;KY80;Bus;Som;Somerset;ky.ky0080bussom;
usaky;KY;KY81;;;;ky.ky0081;
usaky;KY;KY82;;;;ky.ky0082;
usaky;KY;KY83;;;;ky.ky0083;
usaky;KY;KY84;;;;ky.ky0084;
usaky;KY;KY85;;;;ky.ky0085;
usaky;KY;KY86;;;;ky.ky0086;
usaky;KY;KY87;;;Fountain Run;ky.ky0087;
usaky;KY;KY87;;Gam;Gamaliel;ky.ky0087gam;
usaky;KY;KY88;;;;ky.ky0088;
usaky;KY;KY89;;;;ky.ky0089;
usaky;KY;KY90;;;Glasgow;ky.ky0090;
usaky;KY;KY90;;You;Youngs Creek;ky.ky0090you;
usaky;KY;KY90;Bus;Mon;Monticello;ky.ky0090busmon;
usaky;KY;KY91;;;;ky.ky0091;
usaky;KY;KY92;;Jam;Jamestown;ky.ky0092jam;
usaky;KY;KY92;;;Monticello;ky.ky0092;
usaky;KY;KY93;;;Eddyville;ky.ky0093;
usaky;KY;KY93;;Iuk;Iuka;ky.ky0093iuk;
usaky;KY;KY94;;;;ky.ky0094;
usaky;KY;KY94C;;Ful;Fulton;ky.ky0094cful;
usaky;KY;KY94C;;Van;Van Cleave;ky.ky0094cvan;
usaky;KY;KY95;;;;ky.ky0095;
usaky;KY;KY96;;;;ky.ky0096;
usaky;KY;KY97;;;;ky.ky0097;
usaky;KY;KY98;;;;ky.ky0098;
usaky;KY;KY99;;;;ky.ky0099;
usaky;KY;KY100;;;;ky.ky0100;
usaky;KY;KY101;;;;ky.ky0101;
usaky;KY;KY102;;;;ky.ky0102;
usaky;KY;KY103;;;;ky.ky0103;
usaky;KY;KY104;;;;ky.ky0104;
usaky;KY;KY105;;;;ky.ky0105;
usaky;KY;KY106;;;;ky.ky0106;
usaky;KY;KY107;;;;ky.ky0107;
usaky;KY;KY108;;;;ky.ky0108;
usaky;KY;KY109;;;;ky.ky0109;
usaky;KY;KY110;;;Falls of Rough;ky.ky0110;
usaky;KY;KY110;;Hin;Hinton Hills;ky.ky0110hin;
usaky;KY;KY111;;;;ky.ky0111;
usaky;KY;KY112;;;;ky.ky0112;
usaky;KY;KY113;;;;ky.ky0113;
usaky;KY;KY114;;;;ky.ky0114;
usaky;KY;KY115;;;;ky.ky0115;
usaky;KY;KY116;;;;ky.ky0116;
usaky;KY;KY117;;;;ky.ky0117;
usaky;KY;KY118;;;;ky.ky0118;
usaky;KY;KY120;;;;ky.ky0120;
usaky;KY;KY121;;;;ky.ky0121;
usaky;KY;KY121;Bus;May;Mayfield;ky.ky0121busmay;
usaky;KY;KY122;;;;ky.ky0122;
usaky;KY;KY123;;;;ky.ky0123;
usaky;KY;KY124;;;;ky.ky0124;
usaky;KY;KY125;;;;ky.ky0125;
usaky;KY;KY126;;;;ky.ky0126;
usaky;KY;KY128;;;;ky.ky0128;
usaky;KY;KY129;;;;ky.ky0129;
usaky;KY;KY130;;;;ky.ky0130;
usaky;KY;KY131;;;;ky.ky0131;
usaky;KY;KY132;;;;ky.ky0132;
usaky;KY;KY133;;;;ky.ky0133;
usaky;KY;KY134;;;;ky.ky0134;
usaky;KY;KY135;;;;ky.ky0135;
usaky;KY;KY136;;;Henderson;ky.ky0136;
usaky;KY;KY136;;Liv;Livermore;ky.ky0136liv;
usaky;KY;KY137;;;Birdsville;ky.ky0137;
usaky;KY;KY137;;Car;Carrsville;ky.ky0137car;
usaky;KY;KY138;;;;ky.ky0138;
usaky;KY;KY139;;;;ky.ky0139;
usaky;KY;KY140;;;;ky.ky0140;
usaky;KY;KY141;;;;ky.ky0141;
usaky;KY;KY142;;;;ky.ky0142;
usaky;KY;KY143;;;;ky.ky0143;
usaky;KY;KY144;;;;ky.ky0144;
usaky;KY;KY145;;;;ky.ky0145;
usaky;KY;KY146;;;;ky.ky0146;
usaky;KY;KY147;;;;ky.ky0147;
usaky;KY;KY148;;;;ky.ky0148;
usaky;KY;KY149;;;;ky.ky0149;
usaky;KY;KY151;;;;ky.ky0151;
usaky;KY;KY152;;;;ky.ky0152;
usaky;KY;KY153;;;;ky.ky0153;
usaky;KY;KY154;;;;ky.ky0154;
usaky;KY;KY155;;;;ky.ky0155;
usaky;KY;KY156;;;;ky.ky0156;
usaky;KY;KY157;;;;ky.ky0157;
usaky;KY;KY158;;;;ky.ky0158;
usaky;KY;KY159;;;;ky.ky0159;
usaky;KY;KY160;;;;ky.ky0160;
usaky;KY;KY161;;;;ky.ky0161;
usaky;KY;KY162;;;;ky.ky0162;
usaky;KY;KY163;;;;ky.ky0163;
usaky;KY;KY164;;;;ky.ky0164;
usaky;KY;KY165;;;;ky.ky0165;
usaky;KY;KY166;;;;ky.ky0166;
usaky;KY;KY167;;;;ky.ky0167;
usaky;KY;KY168;;;;ky.ky0168;
usaky;KY;KY169;;Ric;Richmond;ky.ky0169ric;
usaky;KY;KY169;;;Nicholasville;ky.ky0169;
usaky;KY;KY170;;;;ky.ky0170;
usaky;KY;KY171;;;;ky.ky0171;
usaky;KY;KY172;;;;ky.ky0172;
usaky;KY;KY173;;;;ky.ky0173;
usaky;KY;KY174;;;;ky.ky0174;
usaky;KY;KY175;;;;ky.ky0175;
usaky;KY;KY176;;;;ky.ky0176;
usaky;KY;KY177;;;;ky.ky0177;
usaky;KY;KY178;;;;ky.ky0178;
usaky;KY;KY179;;;;ky.ky0179;
usaky;KY;KY180;;;;ky.ky0180;
usaky;KY;KY181;;;;ky.ky0181;
usaky;KY;KY182;;;;ky.ky0182;
usaky;KY;KY183;;;;ky.ky0183;
usaky;KY;KY184;;;;ky.ky0184;
usaky;KY;KY185;;;;ky.ky0185;
usaky;KY;KY186;;;;ky.ky0186;
usaky;KY;KY187;;;;ky.ky0187;
usaky;KY;KY188;;;;ky.ky0188;
usaky;KY;KY189;;;;ky.ky0189;
usaky;KY;KY190;;;;ky.ky0190;
usaky;KY;KY191;;;;ky.ky0191;
usaky;KY;KY192;;;;ky.ky0192;
usaky;KY;KY193;;;;ky.ky0193;
usaky;KY;KY194;;;;ky.ky0194;
usaky;KY;KY195;;;;ky.ky0195;
usaky;KY;KY196;;;;ky.ky0196;
usaky;KY;KY197;;;;ky.ky0197;
usaky;KY;KY198;;;;ky.ky0198;
usaky;KY;KY199;;;;ky.ky0199;
usaky;KY;KY200;;;;ky.ky0200;
usaky;KY;KY201;;;;ky.ky0201;
usaky;KY;KY202;;;;ky.ky0202;
usaky;KY;KY203;;;;ky.ky0203;
usaky;KY;KY204;;;;ky.ky0204;
usaky;KY;KY205;;;;ky.ky0205;
usaky;KY;KY206;;;;ky.ky0206;
usaky;KY;KY207;;;;ky.ky0207;
usaky;KY;KY208;;;;ky.ky0208;
usaky;KY;KY209;;;;ky.ky0209;
usaky;KY;KY210;;;;ky.ky0210;
usaky;KY;KY211;;;;ky.ky0211;
usaky;KY;KY212;;;;ky.ky0212;
usaky;KY;KY213;;;;ky.ky0213;
usaky;KY;KY214;;Oti;Otia;ky.ky0214oti;
usaky;KY;KY214;;;Raydure;ky.ky0214;
usaky;KY;KY215;;;;ky.ky0215;
usaky;KY;KY216;;;;ky.ky0216;
usaky;KY;KY217;;;;ky.ky0217;
usaky;KY;KY218;;;;ky.ky0218;
usaky;KY;KY219;;;;ky.ky0219;
usaky;KY;KY220;;;;ky.ky0220;
usaky;KY;KY221;;;;ky.ky0221;
usaky;KY;KY222;;;;ky.ky0222;
usaky;KY;KY223;;;;ky.ky0223;
usaky;KY;KY224;;;;ky.ky0224;
usaky;KY;KY225;;;;ky.ky0225;
usaky;KY;KY226;;;;ky.ky0226;
usaky;KY;KY227;;;;ky.ky0227;
usaky;KY;KY228;;;;ky.ky0228;
usaky;KY;KY229;;;;ky.ky0229;
usaky;KY;KY230;;;;ky.ky0230;
usaky;KY;KY232;;;;ky.ky0232;
usaky;KY;KY233;;;;ky.ky0233;
usaky;KY;KY234;;;;ky.ky0234;
usaky;KY;KY235;;;;ky.ky0235;
usaky;KY;KY236;;;;ky.ky0236;
usaky;KY;KY237;;;;ky.ky0237;
usaky;KY;KY238;;;;ky.ky0238;
usaky;KY;KY239;;;;ky.ky0239;
usaky;KY;KY240;;;;ky.ky0240;
usaky;KY;KY241;;;;ky.ky0241;
usaky;KY;KY242;;;;ky.ky0242;
usaky;KY;KY243;;;;ky.ky0243;
usaky;KY;KY244;;;;ky.ky0244;
usaky;KY;KY245;;;;ky.ky0245;
usaky;KY;KY246;;;;ky.ky0246;
usaky;KY;KY247;;;;ky.ky0247;
usaky;KY;KY248;;;;ky.ky0248;
usaky;KY;KY249;;;;ky.ky0249;
usaky;KY;KY250;;;;ky.ky0250;
usaky;KY;KY251;;;Elizabethtown;ky.ky0251;
usaky;KY;KY251;;Bel;Belmont;ky.ky0251bel;
usaky;KY;KY252;;;;ky.ky0252;
usaky;KY;KY253;;;;ky.ky0253;
usaky;KY;KY254;;;;ky.ky0254;
usaky;KY;KY255;;;Park City;ky.ky0255;
usaky;KY;KY255;;Mam;Mammoth Cave National Park;ky.ky0255mam;
usaky;KY;KY256;;;;ky.ky0256;
usaky;KY;KY257;;;;ky.ky0257;
usaky;KY;KY258;;;;ky.ky0258;
usaky;KY;KY259;;;;ky.ky0259;
usaky;KY;KY260;;;;ky.ky0260;
usaky;KY;KY261;;;;ky.ky0261;
usaky;KY;KY262;;;;ky.ky0262;
usaky;KY;KY263;;;;ky.ky0263;
usaky;KY;KY266;;;;ky.ky0266;
usaky;KY;KY267;;;;ky.ky0267;
usaky;KY;KY268;;;;ky.ky0268;
usaky;KY;KY269;;Log;Logansport;ky.ky0269log;
usaky;KY;KY269;;;Prentiss;ky.ky0269;
usaky;KY;KY270;;;;ky.ky0270;
usaky;KY;KY271;;;;ky.ky0271;
usaky;KY;KY272;;;;ky.ky0272;
usaky;KY;KY273;;;;ky.ky0273;
usaky;KY;KY274;;;;ky.ky0274;
usaky;KY;KY276;;;;ky.ky0276;
usaky;KY;KY277;;;;ky.ky0277;
usaky;KY;KY278;;;;ky.ky0278;
usaky;KY;KY279;;;;ky.ky0279;
usaky;KY;KY280;;;;ky.ky0280;
usaky;KY;KY281;;;;ky.ky0281;
usaky;KY;KY282;;;;ky.ky0282;
usaky;KY;KY283;;;;ky.ky0283;
usaky;KY;KY284;;;;ky.ky0284;
usaky;KY;KY285;;;;ky.ky0285;
usaky;KY;KY286;;;;ky.ky0286;
usaky;KY;KY287;;;;ky.ky0287;
usaky;KY;KY288;;;;ky.ky0288;
usaky;KY;KY289;;;;ky.ky0289;
usaky;KY;KY290;;;;ky.ky0290;
usaky;KY;KY291;;;;ky.ky0291;
usaky;KY;KY292;;;;ky.ky0292;
usaky;KY;KY293;;;;ky.ky0293;
usaky;KY;KY294;;;;ky.ky0294;
usaky;KY;KY295;;;;ky.ky0295;
usaky;KY;KY296;;;;ky.ky0296;
usaky;KY;KY297;;;;ky.ky0297;
usaky;KY;KY298;;;;ky.ky0298;
usaky;KY;KY299;;;;ky.ky0299;
usaky;KY;KY300;;;;ky.ky0300;
usaky;KY;KY301;;;;ky.ky0301;
usaky;KY;KY302;;;;ky.ky0302;
usaky;KY;KY303;;;;ky.ky0303;
usaky;KY;KY304;;;;ky.ky0304;
usaky;KY;KY305;;;;ky.ky0305;
usaky;KY;KY306;;;;ky.ky0306;
usaky;KY;KY307;;;;ky.ky0307;
usaky;KY;KY308;;;;ky.ky0308;
usaky;KY;KY309;;;;ky.ky0309;
usaky;KY;KY310;;;;ky.ky0310;
usaky;KY;KY311;;;;ky.ky0311;
usaky;KY;KY312;;;;ky.ky0312;
usaky;KY;KY313;;;;ky.ky0313;
usaky;KY;KY314;;;;ky.ky0314;
usaky;KY;KY315;;;;ky.ky0315;
usaky;KY;KY316;;;;ky.ky0316;
