system;route;banner;groupname;roots
eure;E1;;N Spain;espga.e1
eure;E1;;S Spain;espan.e1
eure;E1;;Ferrol, ESP (branch);espga.e1fer
eure;E1;;Vigo, ESP (branch);espga.e1vig
eure;E5;;Spain;esppv.e5,espcl.e5peu,esppv.e5arm,espcl.e5,espmd.e5,espcm.e5,espan.e5
eure;E5;;Bilbao, ESP (branch);esppv.e5bil
eure;E5;;Beasain, ESP (branch);esppv.e5bea,espnc.e5,esppv.e5aug
eure;E7;;Spain;espar.e7
eure;E9;;Spain;espct.e9
eure;E15;;Spain;espct.e15,espvc.e15,espmc.e15,espan.e15
eure;E15;;Cartagena, ESP (branch);espmc.e15car,espan.e15pul
eure;E70;;Spain;espga.e70,espas.e70,espcb.e70,esppv.e70
eure;E80;;Spain;espcl.e80,esppv.e80arm,espcl.e80peu,esppv.e80
eure;E82;;Spain;espcl.e82
eure;E90;;Spain;espex.e90,espcm.e90tal,espmd.e90,espcm.e90,espcl.e90,espar.e90,espct.e90
eure;E801;;Spain;espga.e801
eure;E803;;;espcl.e803,espex.e803,espan.e803
eure;E804;;;esppv.e804,espcl.e804,espri.e804,espnc.e804sar,espri.e804cal,espnc.e804,espar.e804
eure;E901;;;espmd.e901,espcm.e901,espvc.e901
eure;E902;;;espan.e902
