systemName;region;route;banner;abbrev;city;root;altRouteNames
usambtx;MA;FaiLn;;;Fairmount Line;ma.failn;
usambtx;MA;FitLn;;;Fitchburg Line;ma.fitln;
usambtx;MA;FoxLn;;;Foxboro Line;ma.foxln;
usambtx;MA;FraLn;;;Franklin Line;ma.fraln;
usambtx;MA;GreLn;;;Greenbush Line;ma.greln;
usambtx;MA;HavLn;;;Haverhill Line;ma.havln;
usambtx;MA;KinLn;;;Kingston Line;ma.kinln;
usambtx;MA;LowLn;;;Lowell Line;ma.lowln;
usambtx;MA;MidLn;;;Middleborough/Lakeville Line;ma.midln;
usambtx;MA;NeeLn;;;Needham Line;ma.neeln;
usambtx;MA;NewLn;;;Newburyport Line;ma.newln;
usambtx;MA;PlyLn;;;Plymouth Line;ma.plyln;
usambtx;RI;ProLn;;;Providence Line;ri.proln;
usambtx;MA;ProLn;;;Providence Line;ma.proln;
usambtx;MA;RocLn;;;Rockport Line;ma.rocln;
usambtx;MA;StoLn;;;Stoughton Line;ma.stoln;
usambtx;MA;WorLn;;;Worcester Line;ma.worln;
usambtx;MA;CapeFly;;;CapeFLYER;ma.capefly;
