
systemName;region;route;banner;abbrev;city;root
indwb;IND-WB;WB1;;;South 24 Parganas;indwb.wb001;
indwb;IND-WB;WB1-W;;;Kolkata;indwb.wb001-w;
indwb;IND-WB;WB1-E;;;Eastern Metropolitan Bypass;indwb.wb001-e;
indwb;IND-WB;WB1;;bar;Barrakpore;indwb.wb001bar;
indwb;IND-WB;WB2;;;;indwb.wb002;
indwb;IND-WB;WB3;;;;indwb.wb003;
indwb;IND-WB;WB4;;;;indwb.wb004;
indwb;IND-WB;WB4A;;;;indwb.wb004a;
indwb;IND-WB;WB5;;;;indwb.wb009;
indwb;IND-WB;WB6;;;;indwb.wb006;
indwb;IND-WB;WB7;;;;indwb.wb007;
indwb;IND-WB;WB8;;;;indwb.wb008;
indwb;IND-WB;WB9;;;;indwb.wb009;
indwb;IND-WB;WB10;;;;indwb.wb010;
indwb;IND-WB;WB10A;;;;indwb.wb010a;
indwb;IND-WB;WB11;;;;indwb.wb011;
indwb;IND-WB;WB11A;;;;indwb.wb011a;
indwb;IND-WB;WB12;;;;indwb.wb012;
indwb;IND-WB;WB12A;;;;indwb.wb012a;
indwb;IND-WB;WB13;;;;indwb.wb013;
indwb;IND-WB;WB14;;;;indwb.wb014;
indwb;IND-WB;WB15;;;;indwb.wb015;
indwb;IND-WB;MaaFly;;;Maa Flyover;indwb.maafly;
